,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,datetime,precip_mm,pressure_mb,temp_C,Wind_ms,humidity_perc,SW_wm2,LW_wm2,pressure_Pa,temp_K,spechum,wind_ms_3m,tempC_min3,tempK_min3
0,0,0,0,0,0,0,0,11/1/13 0:00,0.0,1024.725,4.95,0.4,99.5,0.0,323.615,102472.49999999999,278.09999999999997,0.005249921494286061,0.13333333333333333,1.95,275.09999999999997
1,1,1,1,1,1,1,1,11/1/13 1:00,0.0,1024.4,4.675,0.4,99.7,0.0,323.615,102440.00000000001,277.825,0.005162126113813233,0.13333333333333333,1.6749999999999998,274.825
2,2,2,2,2,2,2,2,11/1/13 2:00,0.0,1024.125,4.125,0.5,99.7,0.0,323.652,102412.5,277.275,0.004968457779472104,0.16666666666666666,1.125,274.275
3,3,3,3,3,3,3,3,11/1/13 3:00,0.0,1023.8,3.525,0.5,99.9,0.0,323.645,102380.0,276.67499999999995,0.004774203278517921,0.16666666666666666,0.5249999999999999,273.67499999999995
4,4,4,4,4,4,4,4,11/1/13 4:00,0.0,1023.525,3.575,0.6,100.0,0.0,323.723,102352.5,276.72499999999997,0.004797145539180204,0.19999999999999998,0.5750000000000002,273.72499999999997
5,5,5,5,5,5,5,5,11/1/13 5:00,0.0,1023.55,3.4,0.7,100.0,0.0,323.822,102355.0,276.54999999999995,0.004738182166685409,0.2333333333333333,0.3999999999999999,273.54999999999995
6,6,6,6,6,6,6,6,11/1/13 6:00,0.0,1023.425,3.0,0.8,100.0,0.0,292.376,102342.5,276.15,0.004606632492723307,0.26666666666666666,0.0,273.15
7,7,7,7,7,7,7,7,11/1/13 7:00,0.008333333,1023.575,3.45,0.7,100.0,0.75,292.455,102357.5,276.59999999999997,0.004754813668987495,0.2333333333333333,0.4500000000000002,273.59999999999997
8,8,8,8,8,8,8,8,11/1/13 8:00,0.008333333,1023.675,4.675,0.7,99.6,19.5,292.573,102367.5,277.825,0.0051606007737000185,0.2333333333333333,1.6749999999999998,274.825
9,9,9,9,9,9,9,9,11/1/13 9:00,0.0,1023.475,6.525,0.7,96.2,122.75,291.089,102347.5,279.67499999999995,0.005667780554814424,0.2333333333333333,3.5250000000000004,276.67499999999995
10,10,10,10,10,10,10,10,11/1/13 10:00,0.0,1022.975,7.675,0.8,89.1,373.25,291.089,102297.5,280.825,0.005682587469055575,0.26666666666666666,4.675,277.825
11,11,11,11,11,11,11,11,11/1/13 11:00,0.016666667,1022.7,9.6,0.8,83.5,518.0,291.096,102270.0,282.75,0.006068119830650682,0.26666666666666666,6.6,279.75
12,12,12,12,12,12,12,12,11/1/13 12:00,0.0,1021.925,11.05,0.6,73.8,436.75,302.965,102192.5,284.2,0.0059130118026931,0.19999999999999998,8.05,281.2
13,13,13,13,13,13,13,13,11/1/13 13:00,0.0,1021.25,10.875,0.7,70.2,388.75,302.965,102125.0,284.025,0.005563219937485141,0.2333333333333333,7.875,281.025
14,14,14,14,14,14,14,14,11/1/13 14:00,0.0,1020.7,9.45,0.4,74.3,180.75,303.048,102070.0,282.59999999999997,0.005355851688386778,0.13333333333333333,6.449999999999999,279.59999999999997
15,15,15,15,15,15,15,15,11/1/13 15:00,0.003333333,1020.25,8.05,0.4,82.1,20.75,298.93,102025.0,281.2,0.005385927210722465,0.13333333333333333,5.050000000000001,278.2
16,16,16,16,16,16,16,16,11/1/13 16:00,0.0025,1019.45,7.025,0.5,87.4,7.75,310.235,101945.0,280.17499999999995,0.005350283529609151,0.16666666666666666,4.025,277.17499999999995
17,17,17,17,17,17,17,17,11/1/13 17:00,0.0,1019.025,6.525,0.5,89.9,0.0,310.215,101902.5,279.67499999999995,0.005319735586905572,0.16666666666666666,3.5250000000000004,276.67499999999995
18,18,18,18,18,18,18,18,11/1/13 18:00,0.0075,1018.8,6.425,0.5,91.7,0.0,310.215,101880.0,279.575,0.005390204110323454,0.16666666666666666,3.425,276.575
19,19,19,19,19,19,19,19,11/1/13 19:00,0.0,1017.9,6.575,0.6,91.6,0.0,292.136,101790.0,279.72499999999997,0.005445024612259473,0.19999999999999998,3.575,276.72499999999997
