time_UTC,time,timestamp,air_K,TSS,TSG,wind_ms,DW,VW_MAX,SW,OSWR,LW,precip_mmhr,PSUM_PH,HS,RH,pressure,temp_c,temp_f,lw_rad60,spechum
2015-10-01 00:00:00-07:00,10/1/15 0:00,2015-10-01T00:00:00,291.62,273.15,273.15,3.5,275,0,185,37,269.263,0,1,0,0.35,1018500,18.47,65.246,329.263,4.54E-06
2015-10-01 01:00:00-07:00,10/1/15 1:00,2015-10-01T01:00:00,288.76,273.15,273.15,3.3,287,0,44,9,269.578,0,1,0,0.393,1018500,15.61,60.098,329.578,4.25E-06
2015-10-01 02:00:00-07:00,10/1/15 2:00,2015-10-01T02:00:00,286.22,273.15,273.15,3.4,309,0,0,0,271.066,0,1,0,0.433,1018500,13.07,55.526,331.066,3.98E-06
2015-10-01 03:00:00-07:00,10/1/15 3:00,2015-10-01T03:00:00,284.24,273.15,273.15,3.5,320,0,0,0,253.781,0,1,0,0.459,1018500,11.09,51.962,313.781,3.70E-06
2015-10-01 04:00:00-07:00,10/1/15 4:00,2015-10-01T04:00:00,282.21,273.15,273.15,3.3,338,0,0,0,249.743,0,1,0,0.52,1018500,9.06,48.308,309.743,3.66E-06
2015-10-01 05:00:00-07:00,10/1/15 5:00,2015-10-01T05:00:00,281.36,273.15,273.15,3.1,357,0,0,0,249.946,0,1,0,0.546,1018500,8.21,46.778,309.946,3.63E-06
2015-10-01 06:00:00-07:00,10/1/15 6:00,2015-10-01T06:00:00,280.52,273.15,273.15,3.3,18,0,0,0,246.232,0,1,0,0.572,1018500,7.37,45.266,306.232,3.59E-06
2015-10-01 07:00:00-07:00,10/1/15 7:00,2015-10-01T07:00:00,280.21,273.15,273.15,2.1,28,0,0,0,245.656,0,1,0,0.579,1018500,7.06,44.708,305.656,3.56E-06
2015-10-01 08:00:00-07:00,10/1/15 8:00,2015-10-01T08:00:00,279.9,273.15,273.15,1.1,59,0,0,0,245.068,0,1,0,0.584,1018500,6.75,44.15,305.068,3.51E-06
2015-10-01 09:00:00-07:00,10/1/15 9:00,2015-10-01T09:00:00,279.59,273.15,273.15,1.3,122,0,0,0,246.864,0,1,0,0.59,1018500,6.44,43.592,306.864,3.47E-06
2015-10-01 10:00:00-07:00,10/1/15 10:00,2015-10-01T10:00:00,279.38,273.15,273.15,1.5,133,0,0,0,246.942,0,1,0,0.591,1018500,6.23,43.214,306.942,3.43E-06
2015-10-01 11:00:00-07:00,10/1/15 11:00,2015-10-01T11:00:00,279.17,273.15,273.15,2.1,140,0,0,0,247.036,0,1,0,0.591,1018500,6.02,42.836,307.036,3.38E-06
2015-10-01 12:00:00-07:00,10/1/15 12:00,2015-10-01T12:00:00,278.96,273.15,273.15,1.8,155,0,0,0,244.79,0,1,0,0.591,1018500,5.81,42.458,304.79,3.33E-06
2015-10-01 13:00:00-07:00,10/1/15 13:00,2015-10-01T13:00:00,279.69,273.15,273.15,1.6,155,0,0,0,244.999,0,1,0,0.6,1018500,6.54,43.772,304.999,3.56E-06
2015-10-01 14:00:00-07:00,10/1/15 14:00,2015-10-01T14:00:00,280.43,273.15,273.15,1.4,158,0,0,0,245.209,0,1,0,0.606,1018500,7.28,45.104,305.209,3.78E-06
2015-10-01 15:00:00-07:00,10/1/15 15:00,2015-10-01T15:00:00,281.16,273.15,273.15,1.2,162,0,179,36,270.348,0,1,0,0.61,1018500,8.01,46.418,330.348,4.00E-06
2015-10-01 16:00:00-07:00,10/1/15 16:00,2015-10-01T16:00:00,283.88,273.15,273.15,1.1,181,0,339,68,270.464,0,1,0,0.513,1018500,10.73,51.314,330.464,4.04E-06
2015-10-01 17:00:00-07:00,10/1/15 17:00,2015-10-01T17:00:00,286.61,273.15,273.15,1.2,202,0,444,89,270.512,0,1,0,0.435,1018500,13.46,56.228,330.512,4.10E-06
2015-10-01 18:00:00-07:00,10/1/15 18:00,2015-10-01T18:00:00,289.33,273.15,273.15,1.5,218,0,562,112,298.642,0,1,0,0.369,1018500,16.18,61.124,358.642,4.14E-06
